time	veloc	accel	accelt
   0.000 	    0.000 	    0.000 	    1.000
   0.010 	    0.000 	    0.000 	    1.000
   0.020 	    0.000 	    0.000 	    1.000
   0.030 	    0.000 	    0.000 	    1.000
   0.040 	    0.000 	    0.000 	    1.000
   0.050 	    0.000 	    0.000 	    1.000
   0.060 	    0.000 	    0.000 	    1.000
   0.070 	    0.000 	    0.000 	    1.000
   0.080 	    0.000 	    0.000 	    1.000
   0.090 	    0.000 	    0.000 	    1.000
   0.100 	    0.000 	    0.000 	    1.000
   0.110 	    0.000 	    0.000 	    1.000
   0.120 	    0.000 	    0.000 	    1.000
   0.130 	    0.000 	    0.014 	    1.000
   0.140 	    0.000 	    0.043 	    1.000
   0.150 	    0.000 	    0.072 	    1.000
   0.160 	    0.000 	    0.100 	    1.000
   0.170 	    0.000 	    0.129 	    1.000
   0.180 	    0.000 	    0.158 	    1.000
   0.190 	    0.000 	    0.187 	    1.000
   0.200 	    0.000 	    0.215 	    1.000
   0.210 	    0.000 	    0.244 	    1.000
   0.220 	    0.005 	    0.273 	    1.000
   0.230 	    0.010 	    0.308 	    1.000
   0.240 	    0.015 	    0.352 	    1.000
   0.250 	    0.020 	    0.395 	    1.000
   0.260 	    0.024 	    0.438 	    1.000
   0.270 	    0.029 	    0.481 	    1.000
   0.280 	    0.034 	    0.531 	    1.000
   0.290 	    0.039 	    0.588 	    1.000
   0.300 	    0.044 	    0.631 	    1.000
   0.310 	    0.049 	    0.660 	    1.000
   0.320 	    0.056 	    0.689 	    1.000
   0.330 	    0.063 	    0.717 	    1.000
   0.340 	    0.071 	    0.746 	    1.000
   0.350 	    0.078 	    0.775 	    1.000
   0.360 	    0.085 	    0.803 	    1.000
   0.370 	    0.095 	    0.832 	    1.000
   0.380 	    0.105 	    0.875 	    1.000
   0.390 	    0.115 	    0.933 	    1.000
   0.400 	    0.124 	    0.983 	    1.000
   0.410 	    0.134 	    1.026 	    1.000
   0.420 	    0.144 	    1.069 	    1.000
   0.430 	    0.154 	    1.119 	    1.000
   0.440 	    0.163 	    1.176 	    1.000
   0.450 	    0.173 	    1.227 	    1.000
   0.460 	    0.183 	    1.270 	    1.000
   0.470 	    0.198 	    1.313 	    1.000
   0.480 	    0.212 	    1.363 	    1.000
   0.490 	    0.227 	    1.420 	    1.000
   0.500 	    0.241 	    1.478 	    1.000
   0.510 	    0.256 	    1.535 	    1.000
   0.520 	    0.273 	    1.593 	    1.000
   0.530 	    0.290 	    1.650 	    1.000
   0.540 	    0.307 	    1.700 	    1.000
   0.550 	    0.324 	    1.729 	    1.000
   0.560 	    0.341 	    1.743 	    1.000
   0.570 	    0.361 	    1.758 	    1.000
   0.580 	    0.380 	    1.779 	    1.000
   0.590 	    0.400 	    1.808 	    1.000
   0.600 	    0.420 	    1.829 	    1.000
   0.610 	    0.439 	    1.844 	    1.000
   0.620 	    0.459 	    1.858 	    1.000
   0.630 	    0.476 	    1.872 	    1.000
