time	 veloc	 accel 
 0.00000 	  0.04829 	  2.02982 	 
 0.01000 	  0.06789 	  1.88969 	 
 0.02000 	  0.08611 	  1.75642 	 
 0.03000 	  0.10308 	  1.64070 	 
 0.04000 	  0.11900 	  1.54753 	 
 0.05000 	  0.13410 	  1.47604 	 
 0.06000 	  0.14858 	  1.42098 	 
 0.07000 	  0.16255 	  1.37520 	 
 0.08000 	  0.17609 	  1.33231 	 
 0.09000 	  0.18920 	  1.28846 	 
 0.10000 	  0.20185 	  1.24280 	 
 0.11000 	  0.21405 	  1.19681 	 
 0.12000 	  0.22580 	  1.15285 	 
 0.13000 	  0.23712 	  1.11271 	 
 0.14000 	  0.24806 	  1.07678 	 
 0.15000 	  0.25867 	  1.04402 	 
 0.16000 	  0.26895 	  1.01262 	 
 0.17000 	  0.27892 	  0.98093 	 
 0.18000 	  0.28856 	  0.94821 	 
 0.19000 	  0.29788 	  0.91475 	 
 0.20000 	  0.30686 	  0.88152 	 
 0.21000 	  0.31551 	  0.84946 	 
 0.22000 	  0.32385 	  0.81890 	 
 0.23000 	  0.33190 	  0.78932 	 
 0.24000 	  0.33964 	  0.75968 	 
 0.25000 	  0.34708 	  0.72896 	 
 0.26000 	  0.35421 	  0.69676 	 
 0.27000 	  0.36102 	  0.66351 	 
 0.28000 	  0.36748 	  0.63020 	 
 0.29000 	  0.37362 	  0.59774 	 
 0.30000 	  0.37944 	  0.56628 	 
 0.31000 	  0.38495 	  0.53493 	 
 0.32000 	  0.39014 	  0.50195 	 
 0.33000 	  0.39498 	  0.46560 	 
 0.34000 	  0.39943 	  0.42498 	 
 0.35000 	  0.40346 	  0.38070 	 
 0.36000 	  0.40704 	  0.33469 	 
 0.37000 	  0.41016 	  0.28927 	 
 0.38000 	  0.41283 	  0.24568 	 
 0.39000 	  0.41508 	  0.20268 	 
 0.40000 	  0.41688 	  0.15599 	 
 0.41000 	  0.41816 	  0.09899 	 
 0.42000 	  0.41880 	  0.02463 	 
 0.43000 	  0.41858 	 -0.07188 	 
 0.44000 	  0.41728 	 -0.19066 	 
 0.45000 	  0.41471 	 -0.32587 	 
 0.46000 	  0.41075 	 -0.46620 	 
 0.47000 	  0.40542 	 -0.59717 	 
 0.48000 	  0.39889 	 -0.70461 	 
 0.49000 	  0.39144 	 -0.77817 	 
 0.50000 	  0.38345 	 -0.81376 	 
 0.51000 	  0.37528 	 -0.81406 	 
